tig50, qpua_pk50, sea, co
70.295486,424.636719,40.724655,0.019705
70.385834,424.310364,40.715714,0.019705
70.476173,423.984344,40.706856,0.019704
70.566467,423.658600,40.698074,0.019703
70.656738,423.333191,40.689381,0.019703
70.746979,423.008057,40.680759,0.019702
70.837189,422.683228,40.672218,0.019702
70.927368,422.358643,40.663754,0.019701
71.017532,422.034363,40.655365,0.019701
71.107658,421.710388,40.647049,0.019700
71.197762,421.386627,40.638805,0.019700
71.287849,421.063141,40.630638,0.019699
71.377899,420.739838,40.622540,0.019699
71.467926,420.416809,40.614510,0.019698
71.557938,420.094025,40.606548,0.019698
71.647926,419.771454,40.598656,0.019697
71.737877,419.449066,40.590832,0.019697
71.827827,419.126953,40.583073,0.019696
71.917747,418.804993,40.575375,0.019696
72.007660,418.483215,40.567749,0.019695
72.097534,418.161652,40.560181,0.019695
72.187393,417.840271,40.552681,0.019694
72.277237,417.519073,40.545238,0.019694
72.367065,417.198059,40.537857,0.019693
72.456863,416.877167,40.530533,0.019693
72.546646,416.556488,40.523277,0.019692
72.636414,416.235962,40.516075,0.019692
72.726158,415.915527,40.508926,0.019691
72.815887,415.595337,40.501839,0.019691
72.905586,415.275208,40.494804,0.019690
72.995277,414.955231,40.487827,0.019690
73.084938,414.635376,40.480907,0.019689
73.174576,414.315613,40.474037,0.019688
73.264206,413.996033,40.467224,0.019688
73.353806,413.676544,40.460461,0.019687
73.443390,413.357178,40.453751,0.019687
73.532944,413.037903,40.447090,0.019686
73.622482,412.718719,40.440479,0.019686
73.711990,412.399628,40.433918,0.019685
73.801483,412.080658,40.427414,0.019685
73.890945,411.761749,40.420952,0.019684
73.980392,411.442932,40.414539,0.019684
74.069809,411.124207,40.408173,0.019683
74.159195,410.805542,40.401855,0.019683
74.248550,410.486938,40.395576,0.019682
74.337875,410.168365,40.389359,0.019682
74.427185,409.849915,40.383171,0.019681
74.516479,409.531525,40.377037,0.019681
74.605713,409.213135,40.370945,0.019680
74.694931,408.894836,40.364899,0.019680
74.784119,408.576599,40.358887,0.019679
74.873268,408.258392,40.352928,0.019679
74.962379,407.940216,40.347000,0.019678
75.051468,407.622101,40.341125,0.019678
75.140518,407.303955,40.335285,0.019677
75.229538,406.985901,40.329487,0.019677
75.318512,406.667847,40.323730,0.019676
75.407440,406.349854,40.318012,0.019676
75.496330,406.031860,40.312332,0.019675
75.585190,405.713867,40.306690,0.019675
75.674011,405.395905,40.301086,0.019674
75.762779,405.077972,40.295525,0.019674
75.851501,404.760040,40.289997,0.019673
75.940178,404.442139,40.284508,0.019673
76.028809,404.124146,40.279057,0.019672
76.117378,403.806244,40.273636,0.019672
76.205917,403.488281,40.268257,0.019671
76.294411,403.170349,40.262909,0.019671
76.382828,402.852417,40.257599,0.019670
76.471222,402.534485,40.252323,0.019669
76.559540,402.216522,40.247082,0.019669
76.647797,401.898499,40.241879,0.019668
76.736008,401.580505,40.236698,0.019668
76.824150,401.262512,40.231560,0.019667
76.912247,400.944458,40.226452,0.019667
77.000275,400.626404,40.221375,0.019666
77.088242,400.308350,40.216331,0.019666
77.176140,399.990173,40.211319,0.019665
77.263969,399.672058,40.206341,0.019665
77.351746,399.353882,40.201389,0.019664
77.439445,399.035645,40.196472,0.019664
77.527077,398.717407,40.191582,0.019663
77.614632,398.399078,40.186722,0.019663
77.702118,398.080780,40.181896,0.019662
77.789536,397.762390,40.177101,0.019662
77.876877,397.443939,40.172329,0.019661
77.964134,397.125427,40.167587,0.019661
78.051323,396.806885,40.162876,0.019660
78.138428,396.488312,40.158195,0.019660
